id,title,type,directors,actors,release_year,duration,categories,plot
7155,justin bieber never say never,movie,jon m chu,"justin bieber,ludacris,usher raymond,jaden smith,miley cyrus,sean kingston,boyz ii men",2011,106 min,"documentaries,music  musicals",teen idol justin bieber provides personal snapshots from throughout his career culminating with scenes from his triumphant 2010 concert tour
7156,k,tv show,,"daisuke namikawa,daisuke ono,mikako komatsu,kenjiro tsuda,tomokazu sugita,yui horie,takahiro sakurai,jun fukuyama,yuichi nakamura,miyuki sawashiro,mamoru miyano,satomi sato,yuki kaji,tetsuya kakihara,shozo iizuka",2012,1 season,"anime series,crime tv shows,international tv shows",a young boy is wanted for a crime he has no recollection of committing and must go on the run hunted by two powerful kings and their forces
7157,k19 the widowmaker,movie,kathryn bigelow,"harrison ford,liam neeson,peter sarsgaard,sam spruell,joss ackland,peter stebbings,christian camargo,sam redford,john shrapnel,donald sumpter",2002,138 min,"action  adventure,dramas",on board russias first nuclear ballistic submarine capt vostrikov must race against time to prevent a chernobyllike explosion
7158,kaçak,tv show,,"gürkan uygun,mustafa avkıran,berk hakman,begüm birgören,özlem yılmaz,yağmur tanrısevsin,inanç konukçu,hasan küçükçetin,metin coşkun,selda özer,yağız atakan savaş,burak deniz,cengiz sezici,haluk bilginer,tuğba melis türk",2013,1 season,"crime tv shows,international tv shows,tv action  adventure",a cop who killed a mobsters son and fled to a small town with a changed identity finds his quiet new life disrupted when he becomes a local hero
7159,kaabil,movie,sanjay gupta,"hrithik roshan,yami gautam,ronit roy,rohit roy,narendra jha,girish kulkarni,sahidur rahaman,suresh menon",2017,139 min,"dramas,international movies",the happy life of a young blind couple is shattered when the wife is raped and corrupt police will not help sending the husband on a quest for revenge
7160,kaakan,movie,kranti redkar,"jitendra joshi,urmila kanitkar,ashutosh gaikwad,ashok shinde,madhavi juvekar",2015,132 min,"dramas,international movies,romantic movies",starcrossed lovers from different social strata struggle to overcome differences in class and family expectation as well as a long separation
7161,kaalia,movie,tinnu anand,"amitabh bachchan,asha parekh,parveen babi,amjad khan,pran,kn singh,sajjan,murad,kader khan,jagdeep",1981,173 min,"action  adventure,dramas,international movies",jailed for robbing his brothers unscrupulous employer a simpleton has a transformation while in prison emerging with a violent mission for revenge
7162,kaaliyan,movie,jijo pancode,"tini tom,meghanathan,balachandran chullikadu,shivaji guruvayoor,kottayam purushan,nithin george,grace antony,shalu",2017,105 min,"dramas,international movies",an aggressive wayward fisherman abandons his wife and daughters who grow up to face the consequences of their fathers mistakes
7163,kabali hindi version,movie,pa ranjith,"rajnikanth,winston chao,radhika apte,nassar,dhansika,kalaiyarasan,dinesh,john vijay,kishore kumar g,riythvika",2016,148 min,"action  adventure,dramas,international movies",in this hindi version of the tamil blockbuster a tamil gang leader in kuala lumpur seeks justice for crimes committed against him and his family
7164,kacche dhaagey,movie,buta singh,"yograj singh,nitu pandher,deep mandian,shreya chawla,jagpal singh chahal,jyoti sharma,janak joshi,karan vinayak",2016,120 min,"dramas,international movies,romantic movies",while visiting india for her cousins wedding a canadian girl develops strong feelings for a boy from a lower caste
7165,kahlil gibrans the prophet,movie,"roger allers,gaëtan brizzi,paul brizzi,joan c gratz,mohammed saeed harib,tomm moore,nina paley,bill plympton,joann sfar,michael socha","liam neeson,salma hayek,john krasinski,frank langella,alfred molina,john rhysdavies,quvenzhané wallis",2014,85 min,"children  family movies,dramas",a troubled young girl and her mother find solace on a journey with a subversive poet whose words captivate their hearts and imaginations
7166,kajraare,movie,pooja bhatt,"himesh reshammiya,sara loren,amrita singh,gulshan grover,javed sheikh,adnan shah,natasha sinha,gaurav chanana,anupam shyam",2010,113 min,"dramas,international movies,music  musicals",a popular singer on the run poses as a bartender and falls in love with a prostitute but their love is threatened by a violent incident in his past
7167,kaleidoscope,movie,rupert jones,"toby jones,anne reid,sinead matthews,cecilia noble,karl johnson,frederick schmidt,deborah findlay,manjinder virk",2016,99 min,thrillers,a quiet excons tenuous grip on reality starts to slip when his manipulative mother brings out a part of him he hoped to leave behind
7168,kalki,movie,dhilip kumar,"kishore kumar g,yasmin ponnappa,mithraboomi saravanan",2017,41 min,"dramas,independent movies,international movies",a scientist trying to solve one of the universes greatest puzzles begins a romance with a much younger colleague that is haunted by a dark secret
7169,kanika,movie,,"sharad ponkshe,smita shewale",2017,110 min,"horror movies,international movies,thrillers",a doctor and his colleagues who use sexdetermination testing for unethical ends face retribution from a supernatural victim who seeks vengeance
7170,karzzzz,movie,satish kaushik,"himesh reshammiya,urmila matondkar,shweta kumar,dino morea,raj babbar,danny denzongpa,gulshan grover,rohini hattangadi,asrani,smita bansal",2008,137 min,"international movies,music  musicals,romantic movies",when flashbacks reveal that he is the reincarnation of a man murdered by his wife rock star monty sets out to get revenge for the decadesold crime
7171,kate  leopold,movie,james mangold,"meg ryan,hugh jackman,liev schreiber,breckin meyer,natasha lyonne,bradley whitford,paxton whitehead,spalding gray,josh stamberg,matthew sussman",2001,118 min,"comedies,romantic movies",a presentday woman takes responsibility for guiding a charming timetraveling 19thcentury nobleman through the 21st century
7172,katha,movie,sai paranjape,"farooq shaikh,naseeruddin shah,deepti naval,veeni paranjape joglekar,mallika sarabhai,arun joglekar",1982,140 min,"comedies,dramas,independent movies",secretly in love with his neighbor a mildmannered clerk is heartbroken when his much bolder more charming friend wins her heart instead
7173,katt williams live,movie,alphonso j wesson,katt williams,2006,85 min,standup comedy,outspoken comedian katt williams pokes fun at a variety of topics including sex relationships parenthood and trying to make it as an entertainer
7174,kaviyude osyath,movie,vineeth anil,"prakash bare,arun kumar,kulappulli leela,sangeetha mohan,kochu preman",2017,116 min,"dramas,international movies",when a late poet leaves behind his property to a young man the mans brother suspects the poet may have been more than just a family friend
7175,kay dyache bola,movie,chandrakant kulkarni,"makarand anaspure,akshay pendse,umesh kamat,sharvari jamenis,sachin khedekar,arun nalawade,mohan agashe,nirmiti sawant,sanjay mone,amita khopkar,pushkar shrotri,ganesh yadav",2005,133 min,"comedies,dramas,international movies",wrongfully accused of murder two students last hope lies with their defense attorney an inexperienced bumbler who is never even tried a case
7176,ken burns the civil war,tv show,ken burns,"sam waterston,julie harris,jason robards,morgan freeman,paul roebling,garrison keillor,george black,david mccullough,arthur miller,christopher murney,charles mcdowell,horton foote,george plimpton,philip bosco,terry courier,jody powell,studs terkel",1990,1 season,docuseries,ken burnss documentary depicts the action of famous civil war battles and relates the stories of soldiers generals and a beleaguered president
7177,ken burns the roosevelts an intimate history,tv show,ken burns,,2014,1 season,docuseries,awardwinning documentarian burns profiles three members of one of americas premier political families theodore franklin and eleanor roosevelt
7178,ken burns the west,tv show,,peter coyote,1996,1 season,docuseries,historian ken burns and his team bring to life the challenges americans faced in the 19th century as they embarked on westward expansion
7179,kevin hart laugh at my pain,movie,"leslie small,tim story",kevin hart,2011,89 min,standup comedy,sometimes edgy and always hilarious comedian kevin hart shines in this theatrical version of his recordbreaking 2011 live tour
7180,kevin hart let me explain,movie,"leslie small,tim story",kevin hart,2013,75 min,standup comedy,philadelphia funnyman kevin hart takes the stage in front of a soldout crowd at madison square garden part of his hit let me explain world tour
7181,kevin hart seriously funny,movie,shannon hartman,kevin hart,2010,67 min,standup comedy,with his unique hiphop style delivery african american standup comedian kevin hart expounds on life at a soldout concert performance
7182,kevyn aucoin beauty  the beast in me,movie,lori kaye,"kevyn aucoin,cindy crawford,naomi campbell,gwyneth paltrow,andie macdowell,paulina porizkova,amber valletta",2017,90 min,"documentaries,lgbtq movies",makeup artist kevyn aucoin worked with top supermodels in the 1980s and 1990s personal videos merged with interviews provide a peek into his life
7183,khaani,tv show,,"feroze khan,sana javed,mehmood aslam,saman ansari,qavi khan,salma hasan,rashid farooqi,muhammad mubarik ali",2017,1 season,"crime tv shows,international tv shows,romantic tv shows",after a rich politicians son kills a young womans brother an unlikely romantic connection complicates her pursuit of justice
7184,khalnayak,movie,subhash ghai,"sanjay dutt,madhuri dixit,jackie shroff,anupam kher,rakhee gulzar,pramod moutho,ramya krishnan,sushmita mukherjee,neena gupta,ak hangal",1993,170 min,"action  adventure,dramas,international movies",a prison guard goes undercover as a dancer to try and recapture an escaped criminal and restore her police inspector boyfriends reputation
7185,khan no 1 crime hunter,tv show,,rajesh sharma,2018,1 season,"crime tv shows,international tv shows,tv comedies",from fake marriages to online shopping fraud a whipsmart police officer investigates truly baffling cons that were inspired by true stories
7186,khelti hai zindagi aankh micholi,tv show,,"ulka gupta,gautami kapoor,reema shaikh,vinay jain,manav gohil,helly shah",2013,1 season,"international tv shows,tv dramas",the life of a 14yearold girl is thrown into turmoil when her father dies forcing her mother to make hard choices for their family
7187,khosla ka ghosla,movie,dibakar banerjee,"anupam kher,boman irani,parvin dabas,tara sharma,navin nischol,kiran juneja,ranvir shorey,vinod nagpal,vinay pathak,nitish pandey",2006,124 min,"comedies,dramas,international movies",a cranky control freak must rely on his comically dysfunctional family to pull off a scam on a greedy land shark who is stolen his prized property
7188,khotey sikkey,tv show,,"vikas kumar,hassan zaidi,sukhmani sadana,puru chibber,dilkhush,mark farokh parakh",2011,1 season,"crime tv shows,international tv shows,tv dramas",five affluent youths find a new sense of purpose as they team up with a mumbai police officer on crimebusting missions around the city
7189,khubsoorat,movie,hrishikesh mukherjee,"ashok kumar,rekha,rakesh roshan,shashikala,aradhana,dina pathak,david abraham,sn banerjee,keshto mukherjee",1980,120 min,"classic movies,comedies,dramas",a strict matriarchs regimented household is upended by the arrival of a spunky relative who challenges the rules
7190,khushi,movie,"surya sj,sunil kumar agrawal","fardeen khan,kareena kapoor,amrish puri,navin nischol,beena,anup soni,johnny lever,sharat saxena,amitabh bachchan,sakshi shivanand",2003,157 min,"comedies,international movies,music  musicals",while playing matchmaker to a pair of their friends two young university students begin developing feelings for each other
7191,kia and cosmos,movie,sudipto roy,"ritwika pal,swastika mukherjee,joy sengupta",2018,124 min,"dramas,independent movies,international movies",a 15yearold girl with autism attempts to write a mystery novel based on her hunt for the killer of a neighborhood cat
7192,kickboxer retaliation,movie,dimitri logothetis,"alain moussi,jeanclaude van damme,mike tyson,christopher lambert,sara malakul lane,hafþór júlíus björnsson,sam medina,steven swadling",2017,110 min,action  adventure,sloans vow to never return to thailand is cut short when he is kidnapped and taken to a thai prison where he is forced to fight a 400pound brute
7193,kickboxer vengeance,movie,john stockwell,"alain moussi,jeanclaude van damme,dave bautista,gina carano,georges stpierre,sara malakul lane,matthew ziff,tj storm,fabricio werdum,cain velasquez",2016,90 min,action  adventure,after a skilled fighter falls in the ring his younger brother emerges from the shadows to train and get revenge against a brutal champion
7194,kicking and screaming,movie,noah baumbach,"josh hamilton,olivia dabo,carlos jacott,chris eigeman,eric stoltz,jason wiles,parker posey,cara buono,elliott gould,samuel gould",1995,97 min,"comedies,independent movies,romantic movies",after graduating four college roomies  petrified by the prospect of facing real life  reluctantly step into adulthood in this ensemble comedy
7195,kid kulafu,movie,paul soriano,"robert villar,alessandra de rossi,cesar montano,alex medina,jake macapagal,khalil ramos,jomari angeles,kokoy desantos",2015,108 min,"dramas,international movies,sports movies",growing up in poverty and political turmoil he found his way out in the ring the early years of worldfamous boxer manny pacquiao unfolds in this biopic
7196,kidnapping mr heineken,movie,daniel alfredson,"jim sturgess,sam worthington,ryan kwanten,anthony hopkins,mark van eeuwen,thomas cocquerel,jemima west,david dencik",2015,95 min,"action  adventure,dramas,international movies",when beer magnate alfred freddy heineken is kidnapped in 1983 his abductors make the largest ransom demand in history
7197,kikoriki,tv show,,igor dmitriev,2010,2 seasons,kids tv,a wacky rabbit and his gang of animal pals have fun solving problems sharing stories and exploring their sometimes magical always special world
7198,kill bill vol 1,movie,quentin tarantino,"uma thurman,lucy liu,vivica a fox,daryl hannah,david carradine,michael madsen,julie dreyfus,chiaki kuriyama,sonny chiba,gordon liu",2003,111 min,action  adventure,an assassin is shot by her ruthless employer bill and other members of their assassination circle but she lives  and plots her vengeance
7199,kill bill vol 2,movie,quentin tarantino,"uma thurman,david carradine,michael madsen,daryl hannah,gordon liu,michael parks,perla haneyjardine,helen kim,claire smithies,clark middleton",2004,137 min,action  adventure,the bride has three left on her rampage list budd elle driver and bill himself but when she arrives at bills house she is in for a surprise
7200,kill command,movie,steven gomez,"vanessa kirby,david ajala,mike noble,bentley kalu,tom mckay,kelly gough,osi okerafor,damian kell,tim ahern,deborah rosan,thure lindhardt",2016,100 min,"action  adventure,independent movies,scifi  fantasy",on a remote island elite soldiers discover their training exercise is actually an experimental death trap teeming with efficiently lethal robots
7201,kill hitler the luck of the devil,movie,frédéric tonolli,jeanbaptiste marcenac,2015,53 min,"documentaries,international movies",from politicians to officers many attempted to kill hitler  and failed this documentary delves into the details of how their plots unraveled
7202,kill ratio,movie,paul tanter,"tom hopper,amy huberman,lacy moore,brian mcguinness,luke pierucci,nick dunning",2016,87 min,action  adventure,posing as a telecom salesman at a business conference a cia agent fights to protect a fledgling eastern european democracy from a military coup
7203,kill the irishman,movie,jonathan hensleigh,"ray stevenson,vincent donofrio,val kilmer,christopher walken,linda cardellini,fionnula flanagan,jason butler harner,vinnie jones,paul sorvino,marcus thomas,tony darrow",2011,106 min,"action  adventure,dramas,independent movies",this true crime tale charts the rise and fall of mobster danny greene who faced down the mafia to gain control of organized crime in 1970s cleveland
7204,killer klowns from outer space,movie,stephen chiodo,"grant cramer,suzanne snyder,john allen nelson,john vernon,michael s siegel,peter licassi,royal dano,christopher titus,irene michaels,karla sue krull",1988,86 min,"comedies,cult movies,horror movies",an alien band of killer clowns descends from the cosmos to harvest scores of smalltown victims cocooning their prey in cotton candy to eat later
7205,killers,movie,robert luketic,"katherine heigl,ashton kutcher,tom selleck,catherine ohara,katheryn winnick,kevin sussman,lisa ann walter,casey wilson,rob riggle,martin mull,alex borstein",2010,100 min,"action  adventure,comedies,romantic movies",after a whirlwind romance jen and spencer settle into married life  until spencers secret past as a hit man shakes up their suburban bliss
7206,kills on wheels,movie,attila till,"szabolcs thuróczy,zoltán fenyvesi,adám fekete,dusan vitanovic,mónika balsai,lidia danis,zoltán mucsi",2016,103 min,"action  adventure,dramas,international movies",two young men with disabilities befriend a hitman in a wheelchair and become his helpers only to wind up in the crosshairs of a serbian mobster
7207,kilo two bravo,movie,paul katis,"david elliot,mark stanley,scott kyle,benjamin omahony,bryan parry,liam ainsworth,andy gibbins,john doughty,paul luebke,thomas davison,grant kilburn,robert mitchell,jonpaul bell,malachi kirby,ali cook",2014,109 min,"dramas,independent movies,thrillers",on patrol in afghanistan a british paratrooper unit unwittingly ventures into a dry riverbed that turns out to be littered with land mines
7208,king jack,movie,felix thompson,"charlie plummer,cory nichols,christian madsen,danny flaherty,erin davie,chloe levine",2015,81 min,"dramas,independent movies",already coping with a bully a mercurial older brother and summer school 15yearold jack is saddled with his young cousin for an eventful weekend
7209,kings ransom,movie,jeffrey w byrd,"anthony anderson,jay mohr,kellita smith,nicole ari parker,regina hall,loretta devine,donald faison,leila arcieri,charlie murphy,brooke dorsay",2005,98 min,"action  adventure,comedies",a wealthy despicable businessman comes to the realization that he may lose half his fortune to the obnoxious wife he is trying to divorce so he decides to arrange his own kidnapping in order to wipe himself out and claim poverty
7210,kingdoms of the sky,tv show,steve greenwood,,2018,1 season,"british tv shows,docuseries,science  nature tv",meet the astonishing animals and adventurous people living on some of the most spectacular  and formidable  mountain ranges in the world
7211,kingpin,movie,"peter farrelly,bobby farrelly","woody harrelson,randy quaid,vanessa angel,bill murray,chris elliott,william jordan,richard tyson,lin shaye",1996,114 min,"comedies,cult movies,sports movies",after a bowler loses his hand his career takes a nosedive that is until he uncovers the next big thing an amish kid named ishmael
7212,kings,movie,deniz gamze ergüven,"halle berry,daniel craig,lamar johnson,kaalan walker,rachel hilson,issac ryan brown,callan farris,serenity reign brown,reece cody,aiden akpan",2017,87 min,dramas,a foster mom and her houseful of kids befriend a bitter neighbor after the rodney king verdict is handed down in 1992 los angeles
7213,kis kisko pyaar karoon,movie,"abbas alibhai burmawalla,mastan alibhai burmawalla","kapil sharma,arbaaz khan,varun sharma,sharat saxena,supriya pathak,manoj joshi,manjari fadnis,simran kaur mundi,elli avram,jamie lever",2015,132 min,"comedies,international movies",a mans decision to marry three women to keep them from committing suicide complicates his relationship with his girlfriend
7214,kiss the girls,movie,gary fleder,"morgan freeman,ashley judd,cary elwes,alex mcarthur,tony goldwyn,jay o sanders,bill nunn,brian cox",1997,116 min,thrillers,a forensic psychologist teams up with an escaped kidnapping victim to hunt down a serial killer who abducts and dominates strongwilled women
7215,kiss the series,tv show,,"lapassalal jiravechsoontornkul,mook worranit thawornwong,jirakit thawornwong,sattaphong phiangphor",2016,1 season,"international tv shows,romantic tv shows,tv dramas",after a night out sandee wakes to discover she and her buddy have either taken their platonic friendship to a whole new level or ruined it forever
7216,kitten rescuers,tv show,,jo brand,2017,1 season,"british tv shows,international tv shows,reality tv",catcrazy host jo brand follows vets and animal welfare officers who take on daring rescues to save furry felines subjected to different catastrophes
7217,kl zombi,movie,woo ming jin,"zizan razak,siti saleha,zain hamid,izara aishah,fadzli daniel ali,usop wilcha",2013,92 min,"comedies,horror movies,international movies",a field hockeyplaying pizza delivery boy finds himself transformed from slacker to zombie slayer during an outbreak of the undead in kuala lumpur
7218,knights of sidonia,tv show,,"ryota osaka,aya suzaki,aki toyosaki,takahiro sakurai,hisako kanemoto,eri kitamura,sayaka ohara,tomohiro tsuboi,takehito koyasu,satomi arai,atsuko tanaka,nanako mori,takako honda,kohsuke toriumi,ayane sakura,osamu saka",2015,2 seasons,"anime series,international tv shows",a hero rises to save a world that is also a spaceship under siege by an alien threat in this original anime series based on the popular manga comic
7219,knock knock,movie,eli roth,"keanu reeves,lorenza izzo,ana de armas,aaron burns,ignacia allamand,dan baily,megan baily,colleen camp,antonio quercia",2015,99 min,"horror movies,thrillers",a devoted husband and father on his own for the weekend has his life turned inside out after giving shelter to two young women during a storm
7220,know your enemy  japan,movie,"frank capra,joris ivens","walter huston,dana andrews",1945,63 min,"classic movies,documentaries",though culturally insensitive by modern standards this propaganda film examines the history of japan from the 16th century through the 1930s
7221,knowing,movie,alex proyas,"nicolas cage,chandler canterbury,rose byrne,lara robinson,dg maloney,nadia townsend,alan hopgood,adrienne pickering",2009,121 min,"scifi  fantasy,thrillers",an mit astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity
7222,koko the gorilla who talks,movie,jonathan taylor,demetri goritsas,2016,56 min,documentaries,witness the incredible decadeslong friendship between koko the gorilla and penny patterson who taught koko to communicate via sign language
7223,kon kon kon,tv show,,,2014,1 season,"docuseries,international tv shows",explore the stories of ordinary people dealing with extraordinary circumstances in this series that focuses on overcoming obstacles and odds
7224,kontiki,movie,"joachim rønning,espen sandberg","pål sverre hagen,anders baasmo christiansen,tobias santelmann,gustaf skarsgård,odd magnus williamson,jakob oftebro,agnes kittelsen,peter wight,amund hellum noraker,eilif hellum noraker",2012,96 min,"action  adventure,dramas,international movies",with five loyal friends in tow explorer thor heyerdahl sails a fragile balsa wood raft along an ancient path some 4300 miles across the pacific
7225,koshish,movie,gulzar,"sanjeev kumar,jaya bhaduri,asrani,seema,om shivpuri,dina pathak",1972,115 min,"international movies,romantic movies",a speech and hearingimpaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity
7226,kraftidioten,movie,hans petter moland,"stellan skarsgård,pål sverre hagen,bruno ganz,hildegun riise,peter andersson,birgitte hjort sørensen,jakob oftebro,anders baasmo christiansen,jon øigarden,gard b eidsvold,kristofer hivju,birgitte hjort sorensen,stellan skarsgard",2014,117 min,"comedies,international movies,thrillers",when he sets out to avenge his sons murder mildmannered snowplow driver nils sparks a war between a norwegian mobster and his serbian rival
7227,krish trish and baltiboy,movie,,"damandeep singh baggan,smita malhotra,baba sehgal",2009,58 min,children  family movies,a team of minstrels including a monkey cat and donkey narrate folktales from the indian regions of rajasthan kerala and punjab
7228,krish trish and baltiboy battle of wits,movie,"munjal shroff,tilak shetty","damandeep singh baggan,smita malhotra,baba sehgal,deepak chachra",2013,62 min,children  family movies,an artisan is cheated of his payment a lion of his throne and a brother of his inheritance in these three stories of deception and justice
7229,krish trish and baltiboy best friends forever,movie,"munjal shroff,tilak shetty","damandeep singh baggan,smita malhotra,deepak chachra",2016,65 min,children  family movies,a cat monkey and donkey team up to narrate folktales about friendship from northeast india and the indian regions of bihar and rajasthan
7230,krish trish and baltiboy comics of india,movie,tilak shetty,"damandeep singh baggan,smita malhotra,baba sehgal",2012,61 min,children  family movies,in three comicstripstyle tales a boy tries to sell wisdom a demon is released from captivity and a king assigns impossible tasks to his minister
7231,krish trish and baltiboy face your fears,movie,tilak shetty,"tarun ratnani,smita malhotra,deepak chachra",2017,65 min,children  family movies,in three tales about fear a baby elephant gets captured by a circus two boys enter a haunted house and a parrot faces his fear of flying
7232,krish trish and baltiboy oversmartness never pays,movie,tilak shetty,"rishi gambhir,smita malhotra,deepak chachra",2017,65 min,children  family movies,a cat monkey and donkey learn the consequences of cheating through stories from the indian regions of rajasthan west bengal and maharashtra
7233,krish trish and baltiboy part ii,movie,,"damandeep singh baggan,smita malhotra,baba sehgal",2010,58 min,children  family movies,animal minstrels narrate stories about a monkeys friendship with a crocodile two monkeys foolishness and a villagers encounter with a demon
7234,krish trish and baltiboy the greatest trick,movie,"munjal shroff,tilak shetty","damandeep singh baggan,smita malhotra,baba sehgal",2013,60 min,children  family movies,the consequences of trickery are explored in stories involving an inconsiderate husband two greedy courtiers and a kind man who loses everything
7235,krisha,movie,trey edward shults,"krisha fairchild,alex dobrenko,robyn fairchild,chris doubek,victoria fairchild,bryan casserly,chase joliet,atheena frizzell,augustine frizzell,bill wise,olivia grace applegate,trey edward shults",2015,81 min,"dramas,independent movies",after 10 years away from her family krisha returns for thanksgiving but bitter grudges and troubling addictions threaten to ruin the event
7236,krishna balram,tv show,,"vatsal dubey,julie tejwani,rupa bhimani,jigna bhardwaj,arun shekher,sanchit wartak,sharda agnihotri,ashok sonawane,joy mukherjee",2019,1 season,kids tv,from playing pranks to destroying demons lord krishna and brother balarams lives in vrindavan are actionpacked in this mythological series
7237,kristy,movie,oliver blackburn,"haley bennett,ashley greene,erica ash,lucas till,chris coy,al vicente,wayne pére,jon arthur,mike seal",2013,85 min,horror movies,opting to stay on campus over the thanksgiving holiday coed justine and a handful of friends find their break violently disrupted by a sadistic gang
7238,krystal,movie,william h macy,"rosario dawson,nick robinson,jacob latimore,grant gustin,william h macy,kathy bates,felicity huffman,william fichtner,ti,rick fox,amy parrish",2017,93 min,"comedies,dramas",a kid with a heart condition falls for an exstripper with a lot of baggage and joins her alcoholics anonymous group to catch her attention
7239,kuldip patwal i didnt do it,movie,remy kohli,"deepak dobriyal,gulshan devaiah,raima sen,parvin dabas,anurag arora,jameel khan,priyanka setia",2017,126 min,"dramas,independent movies,international movies",accused of killing a politician a local grocers fight to prove his innocence reveals his lifelong struggles with injustice leading up to the incident
7240,kung fu hustle,movie,stephen chow,"stephen chow,yuen wah,yuen qiu,lam chichung,dong zhihua,chiu chiling,xing yu,danny chan kwokkwan,leung siulung",2004,99 min,"action  adventure,comedies,cult movies",sing a mobster in 1940s china longs to be as cool as the formally clad axe gang a band of killers who rule hong kong but can only pretend
7241,kung fu magoo,movie,andrés couturier,"dylan sprouse,cole sprouse,alyson stoner,tom kenny,chris parnell,rodger bumpass,maile flanagan,wally wingert,candi milo,jim ward",2010,79 min,"children  family movies,comedies",shortsighted curmudgeon mr magoo and his young nephew justin fight such nefarious foes as kung fu villains robot spiders and teenage mutants
7242,kung fu panda holiday,movie,tim johnson,"jack black,angelina jolie,dustin hoffman,jackie chan,seth rogen,lucy liu,david cross,james hong,dan fogler",2010,26 min,"children  family movies,comedies",as preparations for the winter feast build po is caught between his obligations as the dragon warrior and his family holiday traditions
7243,kung fu yoga,movie,stanley tong,"jackie chan,disha patani,amyra dastur,sonu sood,aarif rahman,miya muqi,zhang yixing,eric tsang",2017,107 min,"action  adventure,comedies,international movies",two mismatched archaeologists battle a team of vicious mercenaries in a race to discover an ancient tibetan treasure of unimaginable worth
7244,kuppivala,movie,suresh pillai,"nandu,kochu preman,jayakrishnan,mohan ayroor,mr gopakumar,shanawas,adoor ajayan,dinesh panicker",2017,133 min,"dramas,international movies,romantic movies",a young woman talented at traditional dance finds her life changed when her love for a man clashes with the wishes of her father
7245,kurt  courtney,movie,nick broomfield,"kurt cobain,courtney love",1998,95 min,"documentaries,music  musicals",this film charts nirvanas kurt cobains rise to fame his drugaddled romance with courtney love and the conspiracy theories surrounding his death
7246,kurt seyit  sura,tv show,,"kıvanç tatlıtuğ,farah zeynep abdullah,fahriye evcen,ushan çakır,birkan sokullu",2014,1 season,"international tv shows,romantic tv shows,tv dramas",a turkish lieutenant and the daughter of russian nobles fight for their love against forces of family and social expectation and historical events
7247,kurtulus son durak,movie,yusuf pirhasan,"belçim bilgin,demet akbağ,asuman dabak,ayten soykök,damla sönmez,mete horozoğlu,ahmet mümtaz taylan,yavuz bingöl,hüseyin soysalan,tolga karaçelik,nihal yalçın",2012,100 min,"comedies,dramas,international movies",when a recently single psychologist moves to a new neighborhood she finds friendship with women starting to rebel against years of domestic abuse
7248,kya kehna,movie,kundan shah,"preity zinta,saif ali khan,anupam kher,farida jalal,chandrachur singh",2000,149 min,"dramas,international movies,romantic movies",a young university students world is shaken after her brief involvement with a wealthy playboy results in her pregnancy
7249,kygo live at the hollywood bowl,movie,devin chanda,kygo,2017,52 min,music  musicals,join norwegian electronic music superstar kygo onstage and behind the scenes as he performs at the famed la venue with a bevy of special guests
7250,kyun ho gaya na,movie,samir karnik,"aishwarya rai bachchan,vivek oberoi,amitabh bachchan,om puri,rati agnihotri,sunil shetty,tinnu anand,rahul singh",2004,165 min,"international movies,romantic movies",cinematic lovebirds aishwarya rai and vivek oberoi star in this love story about a sweet young girl diya brought up by her widowed father on a coffee plantation in the village of coorg
7251,la última fiesta,movie,"leandro mark,nicolás silbert","nicolás vázquez,alan sabbagh,benjamín amadeo,eva de dominici,césar bordón,julian kartun,paula carruega,luciano rossi,ezequiel campa",2016,104 min,"comedies,international movies",three best buddies are thrown into a wild chase for a priceless painting that was stolen from a house they used to throw a huge party
7252,la 92,movie,"daniel lindsay,tj martin",,2017,114 min,documentaries,previously unseen footage is shaped into a fresh and timely retelling of the 1992 rodney king trial  and the verdict that sparked civil unrest
7253,la bamba,movie,luis valdez,"lou diamond phillips,esai morales,rosanna desoto,elizabeth peña,danielle von zerneck,joe pantoliano,rick dees,marshall crenshaw,howard huntsberry,brian setzer",1987,109 min,"classic movies,dramas,music  musicals",the plane crash that killed buddy holly also took ritchie valens whose modest upbringing and rise to fame are depicted in this exhilarating biopic
7254,la coppia dei campioni,movie,giulio base,"massimo boldi,massimiliano tortora,anna maria barbera,massimo ceccherini,pia lanciotti,flora canto",2016,88 min,"comedies,international movies",after winning a shared trip to a soccer match two colleagues who hold opposite world views find they are stuck traveling together for the duration
7255,la familia p luche,tv show,,"eugenio derbez,consuelo duval,luis manuel ávila,regina blandón,miguel perez,barbara torres,dalilah polanco,pierre angelo",2012,3 seasons,"international tv shows,spanishlanguage tv shows,tv comedies",this irreverent sitcom featues ludovico federica and their three children bibi junior and ludoviquito living in ciudad p luche
7256,la femme,tv show,,"zoe tay,ann kok,tiffany leong,tay ping hui,yao wenlong,shaun chen,paige chua,nat ho,desmond sim",2016,1 season,"international tv shows,tv dramas",personal desires guide the lives of a marriageaverse entrepreneur a housewife coping with infidelity and a career woman who leaves her spouse
